,county,state,city,zipcode,latitude,longitude
1,Alabama,AL,Abbeville,36310,31.595139,-85.20884699999999
3,Alabama,AL,Adamsville,35005,33.59595,-87.000649
4,Alabama,AL,Adamsville,35060,33.559629,-86.95346500000001
5,Alabama,AL,Adamsville,35062,33.724920000000004,-87.01025200000001
6,Alabama,AL,Adamsville,35073,33.651253000000004,-86.986935
7,Alabama,AL,Adamsville,35118,33.527419,-87.034686
8,Alabama,AL,Adamsville,35130,33.633156,-87.136688
9,Alabama,AL,Adamsville,35214,33.576995000000004,-86.894065
10,Alabama,AL,Adamsville,35224,33.517294,-86.94387900000001
11,Alabama,AL,Addison,35540,34.234693,-87.20971999999999
13,Alabama,AL,Akron,35441,32.852762,-87.75032900000001
14,Alabama,AL,Alabaster,35007,33.215623,-86.797656
15,Alabama,AL,Alabaster,35040,33.102967,-86.728894
16,Alabama,AL,Alabaster,35080,33.261378,-86.913298
17,Alabama,AL,Alabaster,35114,33.224414,-86.87931800000001
18,Alabama,AL,Alabaster,35115,33.142472999999995,-86.89152800000001
19,Alabama,AL,Alabaster,35124,33.32183,-86.74219699999999
20,Alabama,AL,Albertville,35950,34.24975,-86.261098
21,Alabama,AL,Albertville,35951,34.339098,-86.162297
22,Alabama,AL,Albertville,35957,34.196159,-86.196898
23,Alabama,AL,Albertville,35976,34.345766999999995,-86.330025
24,Alabama,AL,Alexander City,35010,32.916719,-85.940589
25,Alabama,AL,Alexander City,35089,32.945782,-86.08183199999999
26,Alabama,AL,Alexander City,36861,32.890906,-85.850532
28,Alabama,AL,Alexandria,36250,33.765322,-85.901096
29,Alabama,AL,Aliceville,35442,33.077211,-88.202696
30,Alabama,AL,Aliceville,35447,33.251868,-88.157754
32,Alabama,AL,Allgood,35013,33.902164,-86.517774
33,Alabama,AL,Allgood,35121,33.941185,-86.455102
34,Alabama,AL,Altoona,35952,34.052385,-86.310738
36,Alabama,AL,Andalusia,36420,31.177149,-86.551502
37,Alabama,AL,Andalusia,36421,31.324729,-86.506928
39,Alabama,AL,Anderson,35610,34.954456,-87.245961
40,Alabama,AL,Anderson,35648,34.958659999999995,-87.387836
41,Alabama,AL,Anniston,36201,33.649159999999995,-85.879642
42,Alabama,AL,Anniston,36203,33.583049,-85.834485
43,Alabama,AL,Anniston,36205,33.717379,-85.79481700000001
44,Alabama,AL,Anniston,36206,33.733270000000005,-85.809619
45,Alabama,AL,Anniston,36207,33.689088,-85.718863
47,Alabama,AL,Arab,35016,34.32387,-86.50200600000001
49,Alabama,AL,Ardmore,35739,34.968586,-86.791036
50,Alabama,AL,Argo,35112,33.691077,-86.470578
51,Alabama,AL,Argo,35120,33.666809,-86.423755
52,Alabama,AL,Argo,35146,33.79507,-86.45327900000001
53,Alabama,AL,Argo,35173,33.655233,-86.56324000000001
54,Alabama,AL,Ariton,36311,31.609777,-85.68565500000001
55,Alabama,AL,Arley,35541,34.081325,-87.17434899999999
56,Alabama,AL,Ashford,36312,31.17084,-85.236837
57,Alabama,AL,Ashland,36251,33.222279,-85.872376
59,Alabama,AL,Ashville,35953,33.809618,-86.229742
60,Alabama,AL,Ashville,35987,33.91337,-86.24220799999999
62,Alabama,AL,Athens,35611,34.773833,-87.08414499999999
63,Alabama,AL,Athens,35613,34.820163,-86.882161
64,Alabama,AL,Athens,35614,34.875919,-87.229253
65,Alabama,AL,Athens,35671,34.685398,-86.93539
66,Alabama,AL,Athens,35756,34.643705,-86.818149
68,Alabama,AL,Atmore,36502,31.147733,-87.494821
70,Alabama,AL,Attalla,35904,34.07056,-85.990098
71,Alabama,AL,Attalla,35954,34.089754,-86.057449
72,Alabama,AL,Auburn,36801,32.694636,-85.395889
73,Alabama,AL,Auburn,36804,32.533973,-85.34751899999999
